# project_name,OG
# subproject_name,
# primary_contact,Shannon Corrigan
# primary_contact_institution,Ocean Genomes Minderoo Ocean Omics Centre at University of Western Australia Crawley Perth Australia
# primary_contact_email,oceangenomes@uwa.edu.au
# date_of_update,17/06/2024
# schema_version,ebp_species_goat_2.6
"ncbi_taxon_id","species","subspecies","family","target_list_status","sequencing_status","synonym","publication_id"
"753643","Acanthurus achilles","-","Acanthuridae","long_list","-","-","-"
"1962508","Acanthurus albimento","-","Acanthuridae","long_list","-","-","-"
"1917454","Acanthurus albipectoralis","-","Acanthuridae","long_list","-","-","-"
"1316011","Acanthurus auranticavus","-","Acanthuridae","long_list","-","-","-"
"157584","Acanthurus bahianus","-","Acanthuridae","long_list","-","-","-"
"670521","Acanthurus bariene","-","Acanthuridae","long_list","-","-","-"
"238050","Acanthurus blochii","-","Acanthuridae","long_list","-","-","-"
"51758","Acanthurus chirurgus","-","Acanthuridae","long_list","-","-","-"
"1920672","Acanthurus chronixis","-","Acanthuridae","long_list","-","-","-"
"157585","Acanthurus coeruleus","-","Acanthuridae","long_list","-","-","-"
"238051","Acanthurus dussumieri","-","Acanthuridae","long_list","-","-","-"
"-","Acanthurus fowleri","-","Acanthuridae","long_list","-","Acanthurus fowleri","-"
"1484166","Acanthurus gahhm","-","Acanthuridae","long_list","-","-","-"
"2609487","Acanthurus grammoptilus","-","Acanthuridae","long_list","-","-","-"
"75013","Acanthurus guttatus","-","Acanthuridae","long_list","-","-","-"
"390296","Acanthurus japonicus","-","Acanthuridae","long_list","-","-","-"
"1316012","Acanthurus leucocheilus","-","Acanthuridae","long_list","-","-","-"
"1828454","Acanthurus leucopareius","-","Acanthuridae","long_list","-","-","-"
"459747","Acanthurus leucosternon","-","Acanthuridae","long_list","-","-","-"
"483362","Acanthurus lineatus","-","Acanthuridae","long_list","-","-","-"
"2080250","Acanthurus maculiceps","-","Acanthuridae","long_list","-","-","-"
"175430","Acanthurus mata","-","Acanthuridae","long_list","-","-","-"
"-","Acanthurus mindorensis","-","Acanthuridae","long_list","-","Acanthurus mindorensis","-"
"927808","Acanthurus monroviae","-","Acanthuridae","long_list","-","-","-"
"175431","Acanthurus nigricans","-","Acanthuridae","long_list","data_generation","-","-"
"753644","Acanthurus nigricauda","-","Acanthuridae","long_list","-","-","-"
"12913","Acanthurus nigrofuscus","-","Acanthuridae","long_list","-","-","-"
"175432","Acanthurus nigroris","-","Acanthuridae","long_list","-","-","-"
"238052","Acanthurus nubilus","-","Acanthuridae","long_list","-","-","-"
"238053","Acanthurus olivaceus","-","Acanthuridae","long_list","-","-","-"
"1146949","Acanthurus polyzona","-","Acanthuridae","long_list","-","-","-"
"175433","Acanthurus pyroferus","-","Acanthuridae","long_list","-","-","-"
"-","Acanthurus randalli","-","Acanthuridae","long_list","-","Acanthurus randalli","-"
"1567455","Acanthurus reversus","-","Acanthuridae","long_list","-","-","-"
"1484167","Acanthurus sohal","-","Acanthuridae","long_list","-","-","-"
"586769","Acanthurus tennentii","-","Acanthuridae","long_list","-","-","-"
"175434","Acanthurus thompsoni","-","Acanthuridae","long_list","-","-","-"
"1316013","Acanthurus tractus","-","Acanthuridae","long_list","-","-","-"
"175435","Acanthurus triostegus","-","Acanthuridae","long_list","-","-","-"
"1510433","Acanthurus tristis","-","Acanthuridae","long_list","-","-","-"
"75014","Acanthurus xanthopterus","-","Acanthuridae","long_list","-","-","-"
"75020","Ctenochaetus binotatus","-","Acanthuridae","long_list","-","-","-"
"175445","Ctenochaetus cyanocheilus","-","Acanthuridae","long_list","-","-","-"
"753645","Ctenochaetus flavicauda","-","Acanthuridae","long_list","-","-","-"
"390315","Ctenochaetus hawaiiensis","-","Acanthuridae","long_list","-","-","-"
"342439","Ctenochaetus marginatus","-","Acanthuridae","long_list","-","-","-"
"175436","Ctenochaetus striatus","-","Acanthuridae","long_list","sample_acquired","-","-"
"586812","Ctenochaetus strigosus","-","Acanthuridae","long_list","-","-","-"
"1316014","Ctenochaetus tominiensis","-","Acanthuridae","long_list","-","-","-"
"1311432","Ctenochaetus truncatus","-","Acanthuridae","long_list","-","-","-"
"238054","Naso annulatus","-","Acanthuridae","long_list","-","-","-"
"175441","Naso brachycentron","-","Acanthuridae","long_list","-","-","-"
"238055","Naso brevirostris","-","Acanthuridae","long_list","-","-","-"
"238056","Naso caeruleacauda","-","Acanthuridae","long_list","-","-","-"
"238057","Naso caesius","-","Acanthuridae","long_list","-","-","-"
"238058","Naso elegans","-","Acanthuridae","long_list","-","-","-"
"238059","Naso fageni","-","Acanthuridae","long_list","-","-","-"
"175442","Naso hexacanthus","-","Acanthuridae","long_list","-","-","-"
"75028","Naso lituratus","-","Acanthuridae","long_list","-","-","-"
"238060","Naso lopezi","-","Acanthuridae","long_list","-","-","-"
"238061","Naso maculatus","-","Acanthuridae","long_list","-","-","-"
"238062","Naso mcdadei","-","Acanthuridae","long_list","-","-","-"
"238063 ","Naso minor","-","Acanthuridae","long_list","-","-","-"
"238063","Naso minor","-","Acanthuridae","long_list","-","-","-"
"238064","Naso reticulatus","-","Acanthuridae","long_list","-","-","-"
"1642123","Naso tergus","-","Acanthuridae","long_list","-","-","-"
"238065","Naso thynnoides","-","Acanthuridae","long_list","-","-","-"
"238066","Naso tonganus","-","Acanthuridae","long_list","-","-","-"
"175443","Naso tuberosus","-","Acanthuridae","long_list","-","-","-"
"175444","Naso unicornis","-","Acanthuridae","long_list","-","-","-"
"238067","Naso vlamingii","-","Acanthuridae","long_list","-","-","-"
"75030","Paracanthurus hepatus","-","Acanthuridae","long_list","sample_acquired","-","-"
"1316015","Prionurus biafraensis","-","Acanthuridae","long_list","-","-","-"
"1608693","Prionurus chrysurus","-","Acanthuridae","long_list","-","-","-"
"175437","Prionurus laticlavius","-","Acanthuridae","long_list","-","-","-"
"75036","Prionurus maculatus","-","Acanthuridae","long_list","-","-","-"
"175438","Prionurus microlepidotus","-","Acanthuridae","long_list","-","-","-"
"1316016","Prionurus punctatus","-","Acanthuridae","long_list","-","-","-"
"238049","Prionurus scalprum","-","Acanthuridae","long_list","-","-","-"
"1146995","Zebrasoma desjardinii","-","Acanthuridae","long_list","-","-","-"
"175439","Zebrasoma flavescens","-","Acanthuridae","long_list","-","-","-"
"1003822","Zebrasoma gemmatum","-","Acanthuridae","long_list","-","-","-"
"753649","Zebrasoma rostratum","-","Acanthuridae","long_list","-","-","-"
"75046","Zebrasoma scopas","-","Acanthuridae","long_list","-","-","-"
"1311505","Zebrasoma velifer","-","Acanthuridae","long_list","-","-","-"
"1484168","Zebrasoma xanthurum","-","Acanthuridae","long_list","-","-","-"
"-","Antigonia aurorosea","-","Caproidae","long_list","-","Antigonia aurorosea","-"
"143339","Antigonia capros","-","Caproidae","long_list","-","-","-"
